numer_sta,date,nb_niv,
07761,20250131111532,3256,
p_niv,altitude,t,td,dd,ff,
68720,3216.000000,264.170000,263.970000,200,12.000000,
68610,3228.000000,264.080000,263.880000,201,11.900000,
68480,3243.000000,263.990000,263.790000,202,11.800000,
68390,3253.000000,263.920000,263.550000,202,11.700000,
68280,3266.000000,263.830000,263.420000,202,11.600000,
68200,3275.000000,263.850000,263.150000,203,11.500000,
68130,3283.000000,263.830000,262.930000,204,11.500000,
68010,3296.000000,263.760000,262.750000,205,11.500000,
67900,3309.000000,263.640000,262.680000,205,11.500000,
67820,3317.000000,263.570000,262.640000,206,11.500000,
67740,3327.000000,263.570000,262.550000,207,11.400000,
67650,3338.000000,263.600000,262.530000,207,11.400000,
67530,3351.000000,263.480000,262.370000,208,11.300000,
67430,3363.000000,263.370000,262.270000,208,11.100000,
67340,3373.000000,263.270000,262.160000,208,11.000000,
67230,3386.000000,263.210000,262.110000,208,10.900000,
67090,3402.000000,263.090000,262.030000,208,10.800000,
66970,3416.000000,262.980000,261.940000,209,10.700000,
66870,3426.000000,262.880000,261.940000,209,10.600000,
66770,3438.000000,262.840000,261.970000,208,10.600000,
66670,3449.000000,262.700000,261.890000,208,10.500000,
66550,3463.000000,262.630000,261.760000,208,10.400000,
66460,3474.000000,262.560000,261.500000,207,10.200000,
66350,3487.000000,262.510000,261.420000,207,10.200000,
66280,3495.000000,262.560000,261.340000,206,10.100000,
66170,3508.000000,262.510000,261.310000,206,10.000000,
66060,3520.000000,262.440000,261.280000,204,9.900000,
65920,3536.000000,262.300000,261.210000,204,9.800000,
65830,3547.000000,262.230000,261.150000,203,9.800000,
65730,3559.000000,262.140000,261.080000,202,9.700000,
65620,3572.000000,262.050000,260.940000,200,9.700000,
65490,3588.000000,261.980000,260.850000,198,9.700000,
65380,3600.000000,261.960000,260.830000,197,9.700000,
65310,3609.000000,261.910000,260.730000,196,9.700000,
65210,3620.000000,261.950000,260.630000,194,9.600000,
65120,3631.000000,261.980000,260.490000,194,9.600000,
65030,3641.000000,261.930000,260.320000,194,9.500000,
64930,3653.000000,261.860000,260.150000,194,9.500000,
64830,3665.000000,261.840000,260.090000,194,9.400000,
64740,3675.000000,261.840000,260.150000,194,9.500000,
64670,3684.000000,261.650000,260.030000,194,9.600000,
64580,3695.000000,261.630000,260.020000,194,9.700000,
64500,3704.000000,261.630000,259.970000,194,9.700000,
64420,3714.000000,261.560000,259.880000,194,9.800000,
64310,3726.000000,261.510000,259.870000,194,9.800000,
64210,3738.000000,261.460000,259.890000,194,9.700000,
64110,3750.000000,261.300000,259.730000,195,9.600000,
63990,3765.000000,261.230000,259.690000,195,9.500000,
63910,3774.000000,261.090000,259.590000,196,9.500000,
63820,3785.000000,261.020000,259.540000,197,9.400000,
63740,3795.000000,260.970000,259.550000,198,9.200000,
63620,3810.000000,260.830000,259.470000,199,9.100000,
